
Files already downloaded and verified
Epoch [1/500], Train Loss: 2.3837, Test Loss: 2.3016, Test Accuracy: 9.99%
Epoch [2/500], Train Loss: 2.2877, Test Loss: 2.3670, Test Accuracy: 8.34%
Epoch [3/500], Train Loss: 2.3803, Test Loss: 2.4358, Test Accuracy: 9.65%
Epoch [4/500], Train Loss: 2.6370, Test Loss: 2.7027, Test Accuracy: 11.53%
Epoch [5/500], Train Loss: 2.3287, Test Loss: 2.4779, Test Accuracy: 13.32%
Epoch [6/500], Train Loss: 2.1565, Test Loss: 2.1145, Test Accuracy: 18.54%
Epoch [7/500], Train Loss: 2.0447, Test Loss: 2.1188, Test Accuracy: 19.65%
Epoch [8/500], Train Loss: 2.0171, Test Loss: 2.7297, Test Accuracy: 9.39%
Epoch [9/500], Train Loss: 2.4185, Test Loss: 4.4638, Test Accuracy: 11.54%
Epoch [10/500], Train Loss: 2.0499, Test Loss: 2.1602, Test Accuracy: 22.33%
Epoch [11/500], Train Loss: 1.9303, Test Loss: 1.9155, Test Accuracy: 27.41%
Epoch [12/500], Train Loss: 1.8738, Test Loss: 2.0690, Test Accuracy: 22.88%
Epoch [13/500], Train Loss: 1.8625, Test Loss: 2.4545, Test Accuracy: 19.61%
Epoch [14/500], Train Loss: 1.9676, Test Loss: 2.2876, Test Accuracy: 19.91%
Epoch [15/500], Train Loss: 1.9530, Test Loss: 2.3321, Test Accuracy: 18.59%
Epoch [16/500], Train Loss: 2.1183, Test Loss: 3.5167, Test Accuracy: 17.64%
Epoch [17/500], Train Loss: 1.8947, Test Loss: 2.0432, Test Accuracy: 28.31%
Epoch [18/500], Train Loss: 1.8494, Test Loss: 1.8880, Test Accuracy: 29.69%
Epoch [19/500], Train Loss: 1.7620, Test Loss: 2.2079, Test Accuracy: 24.62%
Epoch [20/500], Train Loss: 1.7528, Test Loss: 2.2893, Test Accuracy: 22.45%
Epoch [21/500], Train Loss: 1.8101, Test Loss: 2.0901, Test Accuracy: 27.10%
Epoch [22/500], Train Loss: 1.7495, Test Loss: 2.1099, Test Accuracy: 22.06%
Epoch [23/500], Train Loss: 1.8249, Test Loss: 2.5985, Test Accuracy: 14.71%
Epoch [24/500], Train Loss: 1.9694, Test Loss: 2.4501, Test Accuracy: 19.47%
Epoch [25/500], Train Loss: 1.7475, Test Loss: 1.7545, Test Accuracy: 33.44%
Epoch [26/500], Train Loss: 1.6613, Test Loss: 2.0033, Test Accuracy: 28.12%
Epoch [27/500], Train Loss: 1.6254, Test Loss: 1.7441, Test Accuracy: 33.58%
Epoch [28/500], Train Loss: 1.5843, Test Loss: 1.9065, Test Accuracy: 29.38%
Epoch [29/500], Train Loss: 1.6322, Test Loss: 2.0647, Test Accuracy: 28.46%
Epoch [30/500], Train Loss: 1.7099, Test Loss: 3.8226, Test Accuracy: 17.78%
Epoch [31/500], Train Loss: 1.7753, Test Loss: 3.0667, Test Accuracy: 23.89%
Epoch [32/500], Train Loss: 1.7630, Test Loss: 1.9986, Test Accuracy: 29.58%
Epoch [33/500], Train Loss: 1.6327, Test Loss: 1.9878, Test Accuracy: 29.96%
Epoch [34/500], Train Loss: 1.5885, Test Loss: 2.2601, Test Accuracy: 25.49%
Epoch [35/500], Train Loss: 1.6313, Test Loss: 1.7659, Test Accuracy: 35.86%
Epoch [36/500], Train Loss: 1.5943, Test Loss: 1.6900, Test Accuracy: 36.33%
Epoch [37/500], Train Loss: 1.6059, Test Loss: 1.9894, Test Accuracy: 27.46%
Epoch [38/500], Train Loss: 1.5680, Test Loss: 1.7242, Test Accuracy: 36.93%
Epoch [39/500], Train Loss: 1.5358, Test Loss: 2.3491, Test Accuracy: 21.05%
