
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to data/cifar-10-python.tar.gz




 88%|██████████████████████████████████████████████████████████████████▋         | 149487616/170498071 [00:09<00:01, 17948914.62it/s]

100%|████████████████████████████████████████████████████████████████████████████| 170498071/170498071 [00:10<00:00, 16022372.62it/s]
Epoch [1/400], Train Loss: 2.4213, Test Loss: 2.3027, Test Accuracy: 10.26%
Epoch [2/400], Train Loss: 2.2923, Test Loss: 2.3152, Test Accuracy: 10.20%
Epoch [3/400], Train Loss: 2.1266, Test Loss: 2.3178, Test Accuracy: 15.04%
Epoch [4/400], Train Loss: 2.0342, Test Loss: 2.2951, Test Accuracy: 16.35%
Epoch [5/400], Train Loss: 1.9578, Test Loss: 2.2354, Test Accuracy: 18.27%
Epoch [6/400], Train Loss: 1.8823, Test Loss: 2.0828, Test Accuracy: 19.98%
Epoch [7/400], Train Loss: 1.8401, Test Loss: 1.9586, Test Accuracy: 21.88%
Epoch [8/400], Train Loss: 1.8040, Test Loss: 1.9092, Test Accuracy: 24.99%
Epoch [9/400], Train Loss: 1.7676, Test Loss: 1.8750, Test Accuracy: 27.32%
Epoch [10/400], Train Loss: 1.7381, Test Loss: 1.7914, Test Accuracy: 32.35%
Epoch [11/400], Train Loss: 1.7115, Test Loss: 1.8361, Test Accuracy: 30.80%
Epoch [12/400], Train Loss: 1.6926, Test Loss: 1.8276, Test Accuracy: 30.99%
Epoch [13/400], Train Loss: 1.6647, Test Loss: 1.8491, Test Accuracy: 32.71%
Epoch [14/400], Train Loss: 1.6511, Test Loss: 1.8763, Test Accuracy: 33.14%
Epoch [15/400], Train Loss: 1.6305, Test Loss: 1.9825, Test Accuracy: 33.08%
Epoch [16/400], Train Loss: 1.6049, Test Loss: 2.2265, Test Accuracy: 29.92%
Epoch [17/400], Train Loss: 1.5814, Test Loss: 1.9115, Test Accuracy: 34.95%
Epoch [18/400], Train Loss: 1.5608, Test Loss: 1.6046, Test Accuracy: 41.62%
Epoch [19/400], Train Loss: 1.5385, Test Loss: 1.5409, Test Accuracy: 42.41%
Epoch [20/400], Train Loss: 1.5232, Test Loss: 1.5498, Test Accuracy: 42.65%
Epoch [21/400], Train Loss: 1.5057, Test Loss: 1.7837, Test Accuracy: 38.40%
Epoch [22/400], Train Loss: 1.4908, Test Loss: 1.9956, Test Accuracy: 34.35%
Epoch [23/400], Train Loss: 1.4745, Test Loss: 1.8090, Test Accuracy: 36.78%
Epoch [24/400], Train Loss: 1.4502, Test Loss: 1.5496, Test Accuracy: 42.43%
Epoch [25/400], Train Loss: 1.4303, Test Loss: 1.5161, Test Accuracy: 44.90%
Epoch [26/400], Train Loss: 1.4166, Test Loss: 1.6454, Test Accuracy: 42.02%
Epoch [27/400], Train Loss: 1.4010, Test Loss: 1.7548, Test Accuracy: 39.43%
Epoch [28/400], Train Loss: 1.3869, Test Loss: 1.6620, Test Accuracy: 41.21%
Epoch [29/400], Train Loss: 1.3750, Test Loss: 1.4780, Test Accuracy: 46.12%
Epoch [30/400], Train Loss: 1.3597, Test Loss: 1.3702, Test Accuracy: 50.08%
Epoch [31/400], Train Loss: 1.3429, Test Loss: 1.3490, Test Accuracy: 50.89%
